ts,symbol,rate
2026-07-23T11:42+00:00,KAITO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,NIL/USDT:USDT,5e-05
2026-07-23T11:42+00:00,NIGHT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,NOW/USDT:USDT,0.0
2026-07-23T11:42+00:00,MAVIA/USDT:USDT,0.00046665
2026-07-23T11:42+00:00,PROM/USDT:USDT,-0.00023283
2026-07-23T11:42+00:00,CHR/USDT:USDT,0.0001
2026-07-23T11:42+00:00,WLD/USDT:USDT,9.132e-05
2026-07-23T11:42+00:00,CKB/USDT:USDT,9.771e-05
2026-07-23T11:42+00:00,WCT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ETHFI/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ALPACA/USDT:USDT,0.0
2026-07-23T11:42+00:00,COST/USDT:USDT,0.0
2026-07-23T11:42+00:00,SLERF/USDT:USDT,0.0
2026-07-23T11:42+00:00,ZETA/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ARM/USDT:USDT,-0.00060153
2026-07-23T11:42+00:00,GRAM/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SYN/USDT:USDT,-0.000731
2026-07-23T11:42+00:00,ALL/USDT:USDT,-0.00069439
2026-07-23T11:42+00:00,SAFE/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BLUAI/USDT:USDT,0.00012264
2026-07-23T11:42+00:00,1INCH/USDT:USDT,-9.642e-05
2026-07-23T11:42+00:00,COW/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BTC/U:U,0.0001
2026-07-23T11:42+00:00,ZRX/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BTCDOM/USDT:USDT,0.0001
2026-07-23T11:42+00:00,PAXG/USDT:USDT,-2.849e-05
2026-07-23T11:42+00:00,RED/USDT:USDT,5e-05
2026-07-23T11:42+00:00,XRP/USDT:USDT,2.095e-05
2026-07-23T11:42+00:00,LTC/USDC:USDC,3.516e-05
2026-07-23T11:42+00:00,XPD/USDT:USDT,0.00025835
2026-07-23T11:42+00:00,XPT/USDT:USDT,5.563e-05
2026-07-23T11:42+00:00,CHZ/USDT:USDT,-0.00027835
2026-07-23T11:42+00:00,SOL/USDC:USDC,-5.9e-07
2026-07-23T11:42+00:00,OPN/USDT:USDT,5e-05
