ts,event,type,edge_pershare,exec_size,pool_dollars,n_legs,near_res,edge_recheck
2026-08-06T00:33:19+00:00,South Africa Annual Inflation 2026,BUY-ALL,0.027,5.9,0.16,10,0,0.027
2026-08-06T13:09:40+00:00,Eurozone Annual Inflation 2026,BUY-ALL,0.037,27.8,1.03,9,0,0.038
2026-08-06T13:09:40+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.024,5.0,0.12,6,0,0.024
2026-08-06T13:09:40+00:00,Mexico Annual Inflation 2026,SELL-ALL,0.013,5.8,0.08,8,0,0.013
2026-08-07T01:49:42+00:00,Bitcoin vs. Gold vs. S&P 500 in 2026,SELL-ALL,0.01,207.7,2.08,3,0,0.01
2026-08-07T01:49:42+00:00,Eurozone Annual Inflation 2026,BUY-ALL,0.039,27.8,1.08,9,0,0.039
2026-08-07T01:49:42+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.027,10.0,0.27,6,0,0.027
2026-08-07T01:49:42+00:00,Mexico Annual Inflation 2026,SELL-ALL,0.023,9.0,0.21,8,0,0.023
2026-08-07T12:05:43+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.016,156.5,2.5,6,0,0.016
2026-08-07T12:05:43+00:00,Eurozone Annual Inflation 2026,BUY-ALL,0.026,9.6,0.25,9,0,0.026
2026-08-07T12:05:43+00:00,Mexico Annual Inflation 2026,SELL-ALL,0.015,15.4,0.23,8,0,0.016
2026-08-07T12:05:43+00:00,South Africa Annual Inflation 2026,BUY-ALL,0.005,5.4,0.03,10,0,0.005
2026-08-07T23:56:12+00:00,How many Republican Senate Incumbents will not win their Pri,BUY-ALL,0.026,17.0,0.44,6,0,0.026
2026-08-07T23:56:12+00:00,Eurozone Annual Inflation 2026,BUY-ALL,0.026,6.3,0.16,9,0,0.026
2026-08-07T23:56:12+00:00,Mexico Annual Inflation 2026,SELL-ALL,0.007,15.4,0.11,8,0,0.007
2026-08-07T23:56:12+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.023,3.1,0.07,6,0,0.023
2026-08-07T23:56:12+00:00,What will the Fed rate be at the end of 2026?,SELL-ALL,0.025,0.1,0.0,15,0,0.025
2026-08-08T11:52:51+00:00,How many large volcano eruptions (VEI ≥4) in 2026?,BUY-ALL,0.052,35.0,1.82,6,0,0.052
2026-08-08T11:52:51+00:00,Republican Senate seats after the 2026 midterm elections?,SELL-ALL,0.015,50.0,0.75,11,0,0.015
2026-08-08T23:53:40+00:00,How many Republican Senate Incumbents will not win their Pri,BUY-ALL,0.073,10.0,0.73,6,0,0.073
2026-08-08T23:53:40+00:00,Republican Senate seats after the 2026 midterm elections?,SELL-ALL,0.006,50.0,0.3,11,0,0.006
2026-08-08T23:53:40+00:00,How many Republican House members not running in 2026?,BUY-ALL,0.015,5.0,0.08,7,0,0.015
2026-08-08T23:53:40+00:00,Eurozone Annual Inflation 2026,BUY-ALL,0.007,5.4,0.04,9,0,0.009
2026-08-09T11:53:53+00:00,Republican Senate seats after the 2026 midterm elections?,SELL-ALL,0.006,50.0,0.3,11,0,0.006
2026-08-09T11:53:53+00:00,Eurozone Annual Inflation 2026,BUY-ALL,0.025,10.9,0.27,9,0,0.025
2026-08-09T23:56:25+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.027,7.3,0.2,6,0,0.027
2026-08-09T23:56:25+00:00,Republican Senate seats after the 2026 midterm elections?,SELL-ALL,0.005,28.9,0.14,11,0,0.005
2026-08-10T12:08:12+00:00,Republican Senate seats after the 2026 midterm elections?,SELL-ALL,0.012,35.0,0.42,11,0,0.012
2026-08-10T12:08:12+00:00,Mexico Annual Inflation 2026,BUY-ALL,0.052,5.0,0.26,8,0,0.052
2026-08-10T12:08:12+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.032,2.3,0.07,6,0,0.032
2026-08-10T23:58:37+00:00,South Korea Annual Inflation 2026,BUY-ALL,0.038,1.0,0.04,7,0,0.038
2026-08-10T23:58:37+00:00,Mexico Annual Inflation 2026,BUY-ALL,0.007,2.8,0.02,8,0,0.008
2026-08-10T23:58:37+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.008,0.5,0.0,6,0,0.008
2026-08-11T12:06:30+00:00,Mexico Annual Inflation 2026,BUY-ALL,0.036,9.8,0.35,8,0,0.036
2026-08-11T12:06:30+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.009,0.5,0.0,6,0,0.009
2026-08-12T00:07:43+00:00,Mexico Annual Inflation 2026,BUY-ALL,0.033,5.7,0.19,8,0,0.033
2026-08-12T00:07:43+00:00,How many Democratic House members not running in 2026?,SELL-ALL,0.012,5.0,0.06,7,0,0.012
2026-08-12T12:07:38+00:00,OpenAI IPO Closing Market Cap,BUY-ALL,0.012,40.0,0.48,7,0,0.012
2026-08-12T12:07:38+00:00,Mexico Annual Inflation 2026,BUY-ALL,0.032,5.7,0.18,8,0,0.032
2026-08-12T12:07:38+00:00,New Zealand Election: Turnout,BUY-ALL,0.037,4.5,0.17,6,0,0.037
2026-08-12T12:07:38+00:00,Brazil Presidential Election First Round: Margin of Victory,SELL-ALL,0.008,0.2,0.0,11,0,0.008
2026-08-13T00:06:18+00:00,OpenAI IPO Closing Market Cap,BUY-ALL,0.013,37.7,0.49,7,0,0.013
2026-08-13T00:06:18+00:00,Maduro Prison Time?,BUY-ALL,0.031,12.7,0.39,5,0,0.031
2026-08-13T00:06:18+00:00,Mexico Annual Inflation 2026,BUY-ALL,0.039,9.8,0.38,8,0,0.04
2026-08-13T00:06:18+00:00,New Zealand Election: Turnout,BUY-ALL,0.021,4.5,0.09,6,0,0.021
2026-08-13T00:06:18+00:00,How many Republican Governors after the 2026 midterm electio,SELL-ALL,0.018,5.0,0.09,7,0,0.018
2026-08-13T00:06:18+00:00,South Korea Annual Inflation 2026,SELL-ALL,0.008,10.0,0.08,7,0,
2026-08-13T00:06:18+00:00,UK Annual GDP Growth 2026,BUY-ALL,0.011,3.7,0.04,7,0,
2026-08-13T00:06:18+00:00,Min Arctic sea ice extent this summer?,SELL-ALL,0.006,5.0,0.03,7,0,
2026-08-13T12:07:44+00:00,OpenAI IPO Closing Market Cap,BUY-ALL,0.013,30.0,0.39,7,0,0.012
2026-08-13T12:07:44+00:00,Maduro Prison Time?,BUY-ALL,0.021,12.7,0.27,5,0,0.021
2026-08-13T12:07:44+00:00,Brazil Annual Inflation 2026,SELL-ALL,0.005,10.0,0.05,10,0,0.006
2026-08-14T00:07:09+00:00,OpenAI IPO Closing Market Cap,BUY-ALL,0.016,55.6,0.89,7,0,0.016
2026-08-14T00:07:09+00:00,How many Republican Senators not running in 2026?,BUY-ALL,0.014,7.7,0.11,9,0,0.014
2026-08-14T00:07:09+00:00,How many Republican House members not running in 2026?,BUY-ALL,0.013,4.0,0.05,7,0,0.013
2026-08-14T23:46:11+00:00,How many Democratic House Incumbents will not win their Prim,BUY-ALL,0.07,20.0,1.4,6,0,0.07
2026-08-14T23:46:11+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.011,25.9,0.28,6,0,0.011
2026-08-14T23:46:11+00:00,Brazil Annual Inflation 2026,SELL-ALL,0.008,7.1,0.06,10,0,0.007
2026-08-14T23:46:11+00:00,South Korea Annual Inflation 2026,SELL-ALL,0.006,5.0,0.03,7,0,0.006
2026-08-15T23:43:14+00:00,Brazil Annual Inflation 2026,SELL-ALL,0.015,8.5,0.13,10,0,0.015
