t,market_id,conditionId,slug,endDate,p_last,yes_bid,yes_ask,no_bid,no_ask,no_ask_size,volume,graded,won_no
1788205192.7,3716627,0x1b54730b5d2cc33c04229f9bc00dad2c21b52bcf06456feca566e625e92bf1cb,el1-wyc-swe-2026-09-01-first-to-score-neither,2026-09-01T18:45:00Z,0.065,0.05,0.08,0.92,0.95,100.0,199.99,0,
1788205193.2,3716628,0xb50a05aac41d3641d37340c9af5cf44fae3d8dde926f55058495ff363442ab10,el1-lei-ply-2026-09-01-halftime-result-home,2026-09-01T18:45:00Z,0.38,0.37,0.39,0.61,0.63,53.0,,0,
1788205193.8,3716629,0xc01d9140b97d53c7e5c86aa07ff9eba6cc19b5e84b071c4344b764ec8cfcdc73,el1-lei-ply-2026-09-01-halftime-result-draw,2026-09-01T18:45:00Z,0.395,0.38,0.41,0.59,0.62,1055.0,,0,
1788205194.3,3716630,0x5ff661b70a105195c7f3a4705976aecfcae0be40ed078f2727fabfc134e001bf,el1-lei-ply-2026-09-01-halftime-result-away,2026-09-01T18:45:00Z,0.225,0.21,0.24,0.76,0.79,1073.0,,0,
1788205194.8,3716634,0x21c44455a240991f1588d5da02c37c3e0193ab64edbf7f92a6e68ec1c747b259,el1-lei-ply-2026-09-01-exact-score-0-0,2026-09-01T18:45:00Z,0.055,0.05,0.06,0.94,0.95,358.03,,0,
1788205195.3,3716635,0x0b349f40d1363afe8e10f9268469942fafe817768530edb01080af1be4fe3c9a,el1-lei-ply-2026-09-01-exact-score-0-1,2026-09-01T18:45:00Z,0.06,0.05,0.07,0.93,0.95,10785.8,,0,
1788205195.8,3716636,0xe181960974d33d1ac264796e430b34c6f650a39f79f7c2175f1930baece08e9f,el1-lei-ply-2026-09-01-exact-score-1-0,2026-09-01T18:45:00Z,0.09,0.08,0.1,0.9,0.92,1731.75,,0,
1788205196.3,3716637,0xf875599dcec4a3ac011114704ca0ff0ddcf6a02e7435a5d1dd5985b3d2f1bcda,el1-lei-ply-2026-09-01-exact-score-0-2,2026-09-01T18:45:00Z,0.035,0.03,0.04,0.96,0.97,17299.66,,0,
1788205196.8,3716638,0xd04129df6baed9de2615192e255b6291781892fe6ad78bc8eb751c95c5518555,el1-lei-ply-2026-09-01-exact-score-1-1,2026-09-01T18:45:00Z,0.115,0.1,0.13,0.87,0.9,5591.6,,0,
1788205197.3,3716639,0xe931e6c0f40bc684ee878906561b3aab14ec49bd9adbfb5aacb61c747f81041e,el1-lei-ply-2026-09-01-exact-score-2-0,2026-09-01T18:45:00Z,0.08,0.07,0.09,0.91,0.93,7539.85,,0,
1788205197.9,3716641,0x1b068ff86fb1bcbd951fe4596deedbdb6a15eadae17e65e94543aea87f07bf5e,el1-lei-ply-2026-09-01-exact-score-1-2,2026-09-01T18:45:00Z,0.065,0.06,0.07,0.93,0.94,9420.33,,0,
1788205198.4,3716642,0xdd599c44f81fb765f53dc91409cee7bba923bc13d1811ec7da296e84cb7cda0d,el1-lei-ply-2026-09-01-exact-score-2-1,2026-09-01T18:45:00Z,0.1,0.09,0.11,0.89,0.91,5970.55,,0,
1788205198.9,3716643,0x594c5c105130a41155b19ef3e36e492a3b30f7c4b1c97a5913401937d68a8ebc,el1-lei-ply-2026-09-01-exact-score-3-0,2026-09-01T18:45:00Z,0.045,0.04,0.05,0.95,0.96,1446.75,,0,
1788205199.4,3716644,0x90873842e29e29bd4c86aa932cd132764774c55353379bbec39e7ad8db580df7,el1-lei-ply-2026-09-01-exact-score-1-3,2026-09-01T18:45:00Z,0.025,0.02,0.03,0.97,0.98,853.0,,0,
1788205199.9,3716645,0x65cc02f93c44d10f4b1fa93290ed83fcae7ebc8a616e031650e0298ab187a0d4,el1-lei-ply-2026-09-01-exact-score-2-2,2026-09-01T18:45:00Z,0.065,0.06,0.07,0.93,0.94,220.5,,0,
1788205200.5,3716646,0x492b9b356bb0e13315cbd5e3a2c9ebae6b8ade11e69465684e96aa1702dba732,el1-lei-ply-2026-09-01-exact-score-3-1,2026-09-01T18:45:00Z,0.055,0.05,0.06,0.94,0.95,1423.2,,0,
1788205201.0,3716647,0x77b2943482f5c0dbe3f63c58043bb15ceedb829d81dd293c1d14ef3a80a2073e,el1-lei-ply-2026-09-01-exact-score-2-3,2026-09-01T18:45:00Z,0.022,0.015,0.029,0.971,0.985,66.67,,0,
1788205201.6,3716648,0xd45bbc8976a237fb11ddcca368503e745bca9e7030b396b968831ae025927f3f,el1-lei-ply-2026-09-01-exact-score-3-2,2026-09-01T18:45:00Z,0.034,0.028,0.04,0.96,0.972,35.72,,0,
1788205202.1,3716650,0x6c396e6bb7910fcf612dc8eda63aae1521e5a8847b477924093cf4f72ec8004d,el1-lei-ply-2026-09-01-exact-score-any-other,2026-09-01T18:45:00Z,0.09,0.01,0.17,0.83,0.99,5.0,,0,
1788205202.6,3716652,0x08940577db21d1ceffdc69d136809ba009e3994e346dede836c3366fe98dcc14,el1-lei-ply-2026-09-01-first-to-score-away,2026-09-01T18:45:00Z,0.385,0.36,0.41,0.59,0.64,106.94,,0,
1788205203.1,3716653,0x629d92dc4c8ee1ef0e3ea548a5c8e356c7e30f0b9d3f423a82b132bec6790edd,el1-lei-ply-2026-09-01-first-to-score-neither,2026-09-01T18:45:00Z,0.065,0.06,0.07,0.93,0.94,100.0,,0,
1788205203.6,3716654,0xde553129576336f808160e37e082b468503781c4c6194b74273b705256bdac29,el1-don-not-2026-09-01-halftime-result-home,2026-09-01T18:45:00Z,0.36,0.34,0.38,0.62,0.66,1000.0,,0,
1788205204.2,3716656,0xa5a4438cd50d104600ac44a24abab79c9cea0a884d53a17571b16a43118f5b01,el1-don-not-2026-09-01-halftime-result-away,2026-09-01T18:45:00Z,0.205,0.19,0.22,0.78,0.81,1000.0,,0,
1788205204.7,3716660,0xaac6b2a2a687671e97674b13d1226e9fc4b566e9dd19f65c5d8fe044d03b42e6,el1-don-not-2026-09-01-exact-score-0-0,2026-09-01T18:45:00Z,0.075,0.07,0.08,0.92,0.93,134.03,,0,
1788205205.3,3716661,0xdc08b6d28614d9d27a4dfc87c70b0b9e4629b626ab1c55974d04ec230ebf1bc2,el1-don-not-2026-09-01-exact-score-0-1,2026-09-01T18:45:00Z,0.07,0.06,0.08,0.92,0.94,8466.33,,0,
1788205205.8,3716662,0x75ee9925faa42107aa6b41446458f3c6e65b8f70d39f4bd0b3fa49a8a52494de,el1-don-not-2026-09-01-exact-score-1-0,2026-09-01T18:45:00Z,0.11,0.1,0.12,0.88,0.9,986.1,,0,
1788205206.3,3716663,0x4b826324d40868496c076697207166fb7427566b6a280412c4f54bab6546afde,el1-don-not-2026-09-01-exact-score-0-2,2026-09-01T18:45:00Z,0.042,0.035,0.049,0.951,0.965,14285.71,,0,
1788205206.9,3716664,0x35dd43f922cedfa72daeaf1feb19c136c01fc3f214ce79c71ed510381a9087c4,el1-don-not-2026-09-01-exact-score-1-1,2026-09-01T18:45:00Z,0.13,0.12,0.14,0.86,0.88,100.0,,0,
1788205207.4,3716665,0x896d640889dc52bfb676a13bcb44764041d33bd0b48cb4f313056d00018b9f14,el1-don-not-2026-09-01-exact-score-2-0,2026-09-01T18:45:00Z,0.08,0.07,0.09,0.91,0.93,7242.85,,0,
1788205207.9,3716667,0x954ba69863d9f5b1bc0ea1ad87817d7a14977dd1c3521df4ade2252bbaf922b8,el1-don-not-2026-09-01-exact-score-1-2,2026-09-01T18:45:00Z,0.07,0.06,0.08,0.92,0.94,8433.33,,0,
1788205208.4,3716668,0x3eb8ce1630745be7685dfa44d9feb6da98f0d7c7a41f8aefac333c32b96415b1,el1-don-not-2026-09-01-exact-score-2-1,2026-09-01T18:45:00Z,0.095,0.08,0.11,0.89,0.92,6350.0,,0,
1788205208.9,3716669,0xf0e91724b2afe54f60949cf676ba569aeae68ce7a991bba59297490669ca3cc3,el1-don-not-2026-09-01-exact-score-3-0,2026-09-01T18:45:00Z,0.0455,0.037,0.054,0.946,0.963,100.0,,0,
1788205209.4,3716670,0x213ace78375c32cda42c6daaa9a0dcafc531db2ab265d170c9efef514ca2465f,el1-don-not-2026-09-01-exact-score-1-3,2026-09-01T18:45:00Z,0.0245,0.02,0.029,0.971,0.98,1286.5,,0,
1788205209.9,3716671,0x488ee9cb3b64e43636850ff5f61cf888f038aa317866d8c200cab7b8a24b92e5,el1-don-not-2026-09-01-exact-score-2-2,2026-09-01T18:45:00Z,0.053,0.044,0.062,0.938,0.956,11363.63,,0,
1788205210.5,3716672,0x9cb7543955fa7251d66f461f6264f316949d637f7324ee760aaf6bb6f09d3f11,el1-don-not-2026-09-01-exact-score-3-1,2026-09-01T18:45:00Z,0.0505,0.042,0.059,0.941,0.958,100.0,,0,
1788205211.0,3716674,0x05aa8ca4b070e166b098eb9ec7b0d265be7a1445e99e15f1c5041f3b65bf950b,el1-don-not-2026-09-01-exact-score-3-2,2026-09-01T18:45:00Z,0.028,0.022,0.034,0.966,0.978,90.92,,0,
1788205211.5,3716676,0xe55f46c9712f740293cb1825f2ba88b96ed3a41d2f1cc5226942a92136ad21a0,el1-don-not-2026-09-01-exact-score-any-other,2026-09-01T18:45:00Z,0.07,0.01,0.13,0.87,0.99,5.0,,0,
1788205212.0,3716678,0xb763fcbbea83114c3d62ecfc94c47b5f4f13fd5af2a1bf5cbf077d49d0618c14,el1-don-not-2026-09-01-first-to-score-away,2026-09-01T18:45:00Z,0.38,0.36,0.4,0.6,0.64,6.94,,0,
1788205212.6,3716679,0xd3bca4c814c8034fe13848dc6aa15b724d849ced0022100104d8f299cb3f41eb,el1-don-not-2026-09-01-first-to-score-neither,2026-09-01T18:45:00Z,0.085,0.08,0.09,0.91,0.92,95.0,5,0,
1788205213.1,3716681,0xaade57c5577569b3549c3a7f8493914a206a6050bf11af482f1c51edad0bc125,el1-hud-oxf-2026-09-01-halftime-result-draw,2026-09-01T18:45:00Z,0.39,0.36,0.41,0.59,0.64,1623.25,,0,
1788205213.6,3716682,0x6f2ad3f8c48092736330f79a3aaaef91277d174c98a4d420aa5dc184122cbf26,el1-hud-oxf-2026-09-01-halftime-result-away,2026-09-01T18:45:00Z,0.175,0.15,0.2,0.8,0.85,1400.0,,0,
