ts,wallet,title,outcome,size,curPrice,paper_stake
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Palermo: Mina Hodzic vs Noemi Basiletti,Mina Hodzic,2556.3418,0.9995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will SK Dila Gori win on 2026-07-23?,No,2539.9898,0.9995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will AEK Lárnakas win on 2026-07-23?,No,2529.2345,0.99,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FC Malisheva vs. Hibernian FC end in a draw?,No,2179.1041,0.9995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Tromsø IL vs. FC Hradec Králové: O/U 3.5,Under,2264.8312,0.935,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: San Diego Padres (-1.5),Atlanta Braves,2165.9875,0.97,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will PAOK win on 2026-07-23?,Yes,3109.0881,0.665,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Tromsø IL vs. FC Hradec Králové: O/U 2.5,Under,2567.2166,0.805,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FC Sion win on 2026-07-23?,Yes,3198.3555,0.645,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will ÍF Vestri win on 2026-07-23?,No,1981.5486,0.995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,FK Dynamo Kyiv vs. PAOK: 1st Half O/U 1.5,Over,1973.9264,0.995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will RSC Anderlecht win on 2026-07-23?,Yes,4062.9641,0.465,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Alashkert FA vs. FC CFR 1907 Cluj end in a draw?,Yes,1878.3545,0.9995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: Tromsø IL (-1.5),FC Hradec Králové,2461.2478,0.755,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Alashkert FA win on 2026-07-23?,No,1814.4684,0.9995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FK Austria Wien win on 2026-07-23?,Yes,1788.8466,0.9995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Qarabağ Ağdam FK vs. PFK CSKA Sofia: O/U 3.5,Under,1739.2653,0.9995,50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Tromsø IL win on 2026-07-23?,No,3950.4202,0.425,50.0
2026-07-23T18:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Counter-Strike: Heroic vs FOKUS (BO3) - StarLadder StarSerie,Heroic,83755.0,0.915,50.0
2026-07-23T18:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Livesport Prague Open: Lucie Havlickova vs Barbora Krejcikov,Barbora Krejcikova,60000.0,0.9995,50.0
2026-07-23T18:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Bloomfield Hills: Roger Pascual vs Andres Martin,Roger Pascual,48753.2789,0.535,50.0
2026-07-23T18:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Map Handicap: TS (-1.5) vs OG (+1.5),OG,44678.6727,0.34,50.0
2026-07-23T18:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Palermo: Mina Hodzic vs Noemi Basiletti,Noemi Basiletti,45452.6934,0.0005,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FC Flora win on 2026-07-23?,Yes,65167.3555,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Spread: Zirə FK (-1.5),Paide Linnameeskond,58360.8903,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will SK Dinamo Tbilisi win on 2026-07-23?,Yes,36016.1533,0.9895,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Tromsø IL win on 2026-07-23?,Yes,24816.6656,0.575,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FC CFR 1907 Cluj win on 2026-07-23?,No,13067.2564,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Noah FA win on 2026-07-23?,No,13767.4342,0.835,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FC Koper win on 2026-07-23?,No,18533.0447,0.605,50.0
