capture,asset,rest_price,dist_from_mid,queue_ahead,consumed,filled,secs_to_fill,markout_5s,markout_30s,markout_300s
224929.jsonl.gz,7456793595792364,0.98,0.0025,0.0,120.0,1,47.1,0.0025,0.0025,0.0025
224929.jsonl.gz,7456793595792364,0.98,0.0025,0.0,120.0,1,17.1,0.0025,0.0025,0.0025
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,251.7,0.01,0.01,
224929.jsonl.gz,3523185360721264,0.98,0.05,1470.2,2000.0,1,48.3,0.05,0.05,0.04
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,235.8,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,205.6,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,175.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,145.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,114.6,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,84.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,54.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,24.4,0.01,0.01,
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,210.0,1,70.8,0.005,0.005,0.005
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,70.8,0.005,0.005,0.005
224929.jsonl.gz,9350237091720620,0.074,0.007,100.0,200.0,1,70.7,0.007,0.007,0.007
224929.jsonl.gz,1102656942679369,0.72,0.005,100.0,200.0,1,55.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,100.0,200.0,1,55.9,0.007,0.007,
224929.jsonl.gz,1102656942679369,0.72,0.005,100.0,200.0,1,24.8,0.005,0.005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,56.0,0.005,0.005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,24.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,116.0,250.0,1,24.9,0.007,0.007,
224929.jsonl.gz,5775223447809780,0.994,0.006,96.5,275.8,1,98.6,0.006,0.006,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,9.2,0.005,0.005,
224929.jsonl.gz,3523185360721264,0.98,0.05,1970.2,2545.2,1,71.3,0.05,0.04,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,313.7,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,282.7,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,252.6,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,222.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,192.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,161.6,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,131.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,101.5,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,101.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,71.4,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,71.4,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,40.3,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,40.3,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,10.3,0.005,0.005,
224929.jsonl.gz,3523185360721264,0.98,0.05,1470.2,2045.2,1,57.7,0.04,0.04,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,165.2,1,92.1,0.006,0.006,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,165.2,1,61.0,0.006,0.006,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,165.2,1,31.0,0.006,0.006,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,32.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,116.0,250.0,1,32.9,0.007,0.007,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,338.0,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,307.0,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,276.9,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,246.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,216.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,185.9,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,155.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,125.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,95.7,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,64.6,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,34.6,0.0005,0.0005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,4.4,0.005,0.005,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,8.7,0.005,0.005,0.005
224929.jsonl.gz,9350237091720620,0.074,0.007,121.4,250.0,1,8.7,0.007,0.007,0.0065
224929.jsonl.gz,3523185360721264,0.98,0.05,1970.1,2500.0,1,44.2,0.04,0.04,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,3445.0,1,60.9,0.005,0.005,0.005
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,445.0,1,30.5,0.005,0.005,0.005
224929.jsonl.gz,3523185360721264,0.98,0.04,1470.1,2000.0,1,33.6,0.04,0.04,
224929.jsonl.gz,4264368978045256,0.015,0.006,1860.7,2374.3,1,247.4,0.006,0.006,
224929.jsonl.gz,4264368978045256,0.015,0.006,0.0,513.7,1,216.5,0.006,0.006,
224929.jsonl.gz,4264368978045256,0.015,0.006,0.0,513.7,1,186.4,0.006,0.006,
224929.jsonl.gz,4264368978045256,0.015,0.006,0.0,513.7,1,156.4,0.006,0.006,
224929.jsonl.gz,4264368978045256,0.015,0.006,0.0,513.7,1,126.3,0.006,0.006,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,310.0,1,7.1,0.005,0.005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,19.4,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,121.4,250.0,1,19.6,0.007,0.007,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,188.3,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,158.2,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,127.1,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,97.1,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,66.6,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,36.6,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,6.6,0.158,0.158,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,7.1,0.005,0.005,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,10.4,0.005,0.005,0.005
224929.jsonl.gz,9350237091720620,0.074,0.007,121.4,250.0,1,10.4,0.007,0.007,0.0065
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,134.7,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,104.7,0.01,0.01,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,395.1,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,365.0,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,334.9,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,304.9,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,274.0,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,243.9,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,213.9,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,183.8,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,152.7,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,122.6,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,92.2,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,62.2,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,32.1,0.003,0.003,
224929.jsonl.gz,1090994452379897,0.037,0.003,0.0,430.0,1,2.1,0.003,0.003,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,11.3,0.005,0.005,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,14.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,121.4,250.0,1,14.9,0.007,0.007,
224929.jsonl.gz,3523185360721264,0.98,0.04,1470.1,2045.1,1,84.5,0.04,0.04,
224929.jsonl.gz,5775223447809780,0.994,0.006,82.4,184.2,1,118.3,0.006,0.006,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,101.8,1,88.3,0.006,0.006,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,101.8,1,58.3,0.006,0.006,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,101.8,1,28.2,0.006,0.006,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,34.6,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,4.5,0.158,0.158,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,975.0,1,129.4,0.01,0.01,0.01
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,975.0,1,99.3,0.01,0.01,0.01
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,975.0,1,69.3,0.01,0.01,0.01
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,12.5,0.005,0.005,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,18.3,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,121.4,250.0,1,18.3,0.007,0.007,0.0065
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,49.3,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,19.2,0.01,0.01,
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,474.7,0.01,0.01,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,1.7,0.158,0.158,
224929.jsonl.gz,3523185360721264,0.98,0.04,1970.1,2545.1,1,101.5,0.04,0.04,
224929.jsonl.gz,3523185360721264,0.98,0.04,1970.1,2500.0,1,71.5,0.04,0.04,
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,465.6,0.01,0.01,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,166.7,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,136.6,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,106.6,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,76.6,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,46.5,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,16.2,0.005,0.005,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,165.6,1,46.7,0.006,0.006,
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,453.8,0.01,0.01,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,33.3,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,121.4,221.4,1,33.3,0.007,0.007,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,34.8,0.005,0.005,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,179.9,1,36.7,0.006,0.006,
224929.jsonl.gz,3523185360721264,0.98,0.04,1470.1,2045.1,1,69.4,0.04,0.04,
224929.jsonl.gz,4264368978045256,0.015,0.006,565.7,1860.7,1,250.5,0.0065,0.0065,
224929.jsonl.gz,4264368978045256,0.015,0.006,565.7,1860.7,1,220.5,0.0065,0.0065,
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,434.7,0.01,0.01,
